Day,Month,Sighns
1,Jan,Capricorn
1,Feb,Aquarius
1,Mar,Pisces
1,Apr,Aries
1,May,Taurus
1,Jun,Gemini
1,Jul,Cancer
1,Aug,Leo
1,Sep,Virgo
1,Oct,Libra
1,Nov,Scorpio
1,Dec,Sagittarius
2,Jan,Capricorn
2,Feb,Aquarius
2,Mar,Pisces
2,Apr,Aries
2,May,Taurus
2,Jun,Gemini
2,Jul,Cancer
2,Aug,Leo
2,Sep,Virgo
2,Oct,Libra
2,Nov,Scorpio
2,Dec,Sagittarius
3,Jan,Capricorn
3,Feb,Aquarius
3,Mar,Pisces
3,Apr,Aries
3,May,Taurus
3,Jun,Gemini
3,Jul,Cancer
3,Aug,Leo
3,Sep,Virgo
3,Oct,Libra
3,Nov,Scorpio
3,Dec,Sagittarius
4,Jan,Capricorn
4,Feb,Aquarius
4,Mar,Pisces
4,Apr,Aries
4,May,Taurus
4,Jun,Gemini
4,Jul,Cancer
4,Aug,Leo
4,Sep,Virgo
4,Oct,Libra
4,Nov,Scorpio
4,Dec,Sagittarius
5,Jan,Capricorn
5,Feb,Aquarius
5,Mar,Pisces
5,Apr,Aries
5,May,Taurus
5,Jun,Gemini
5,Jul,Cancer
5,Aug,Leo
5,Sep,Virgo
5,Oct,Libra
5,Nov,Scorpio
5,Dec,Sagittarius
6,Jan,Capricorn
6,Feb,Aquarius
6,Mar,Pisces
6,Apr,Aries
6,May,Taurus
6,Jun,Gemini
6,Jul,Cancer
6,Aug,Leo
6,Sep,Virgo
6,Oct,Libra
6,Nov,Scorpio
6,Dec,Sagittarius
7,Jan,Capricorn
7,Feb,Aquarius
7,Mar,Pisces
7,Apr,Aries
7,May,Taurus
7,Jun,Gemini
7,Jul,Cancer
7,Aug,Leo
7,Sep,Virgo
7,Oct,Libra
7,Nov,Scorpio
7,Dec,Sagittarius
8,Jan,Capricorn
8,Feb,Aquarius
8,Mar,Pisces
8,Apr,Aries
8,May,Taurus
8,Jun,Gemini
8,Jul,Cancer
8,Aug,Leo
8,Sep,Virgo
8,Oct,Libra
8,Nov,Scorpio
8,Dec,Sagittarius
9,Jan,Capricorn
9,Feb,Aquarius
9,Mar,Pisces
9,Apr,Aries
9,May,Taurus
9,Jun,Gemini
9,Jul,Cancer
9,Aug,Leo
9,Sep,Virgo
9,Oct,Libra
9,Nov,Scorpio
9,Dec,Sagittarius
10,Jan,Capricorn
10,Feb,Aquarius
10,Mar,Pisces
10,Apr,Aries
10,May,Taurus
10,Jun,Gemini
10,Jul,Cancer
10,Aug,Leo
10,Sep,Virgo
10,Oct,Libra
10,Nov,Scorpio
10,Dec,Sagittarius
11,Jan,Capricorn
11,Feb,Aquarius
11,Mar,Pisces
11,Apr,Aries
11,May,Taurus
11,Jun,Gemini
11,Jul,Cancer
11,Aug,Leo
11,Sep,Virgo
11,Oct,Libra
11,Nov,Scorpio
11,Dec,Sagittarius
12,Jan,Capricorn
12,Feb,Aquarius
12,Mar,Pisces
12,Apr,Aries
12,May,Taurus
12,Jun,Gemini
12,Jul,Cancer
12,Aug,Leo
12,Sep,Virgo
12,Oct,Libra
12,Nov,Scorpio
12,Dec,Sagittarius
13,Jan,Capricorn
13,Feb,Aquarius
13,Mar,Pisces
13,Apr,Aries
13,May,Taurus
13,Jun,Gemini
13,Jul,Cancer
13,Aug,Leo
13,Sep,Virgo
13,Oct,Libra
13,Nov,Scorpio
13,Dec,Sagittarius
14,Jan,Capricorn
14,Feb,Aquarius
14,Mar,Pisces
14,Apr,Aries
14,May,Taurus
14,Jun,Gemini
14,Jul,Cancer
14,Aug,Leo
14,Sep,Virgo
14,Oct,Libra
14,Nov,Scorpio
14,Dec,Sagittarius
15,Jan,Capricorn
15,Feb,Aquarius
15,Mar,Pisces
15,Apr,Aries
15,May,Taurus
15,Jun,Gemini
15,Jul,Cancer
15,Aug,Leo
15,Sep,Virgo
15,Oct,Libra
15,Nov,Scorpio
15,Dec,Sagittarius
16,Jan,Capricorn
16,Feb,Aquarius
16,Mar,Pisces
16,Apr,Aries
16,May,Taurus
16,Jun,Gemini
16,Jul,Cancer
16,Aug,Leo
16,Sep,Virgo
16,Oct,Libra
16,Nov,Scorpio
16,Dec,Sagittarius
17,Jan,Capricorn
17,Feb,Aquarius
17,Mar,Pisces
17,Apr,Aries
17,May,Taurus
17,Jun,Gemini
17,Jul,Cancer
17,Aug,Leo
17,Sep,Virgo
17,Oct,Libra
17,Nov,Scorpio
17,Dec,Sagittarius
18,Jan,Capricorn
18,Feb,Aquarius
18,Mar,Pisces
18,Apr,Aries
18,May,Taurus
18,Jun,Gemini
18,Jul,Cancer
18,Aug,Leo
18,Sep,Virgo
18,Oct,Libra
18,Nov,Scorpio
18,Dec,Sagittarius
19,Jan,Capricorn
19,Feb,Aquarius
19,Mar,Pisces
19,Apr,Aries
19,May,Taurus
19,Jun,Gemini
19,Jul,Cancer
19,Aug,Leo
19,Sep,Virgo
19,Oct,Libra
19,Nov,Scorpio
19,Dec,Sagittarius
20,Jan,Aquarius
20,Feb,Pisces
20,Mar,Aries
20,Apr,Aries
20,May,Taurus
20,Jun,Gemini
20,Jul,Cancer
20,Aug,Leo
20,Sep,Virgo
20,Oct,Libra
20,Nov,Scorpio
20,Dec,Sagittarius
21,Jan,Aquarius
21,Feb,Pisces
21,Mar,Aries
21,Apr,Taurus
21,May,Taurus
21,Jun,Cancer
21,Jul,Cancer
21,Aug,Leo
21,Sep,Virgo
21,Oct,Libra
21,Nov,Scorpio
21,Dec,Sagittarius
22,Jan,Aquarius
22,Feb,Pisces
22,Mar,Aries
22,Apr,Taurus
22,May,Gemini
22,Jun,Cancer
22,Jul,Cancer
22,Aug,Leo
22,Sep,Virgo
22,Oct,Libra
22,Nov,Scorpio
22,Dec,Capricorn
23,Jan,Aquarius
23,Feb,Pisces
23,Mar,Aries
23,Apr,Taurus
23,May,Gemini
23,Jun,Cancer
23,Jul,Leo
23,Aug,Virgo
23,Sep,Libra
23,Oct,Scorpio
23,Nov,Sagittarius
23,Dec,Capricorn
24,Jan,Aquarius
24,Feb,Pisces
24,Mar,Aries
24,Apr,Taurus
24,May,Gemini
24,Jun,Cancer
24,Jul,Leo
24,Aug,Virgo
24,Sep,Libra
24,Oct,Scorpio
24,Nov,Sagittarius
24,Dec,Capricorn
25,Jan,Aquarius
25,Feb,Pisces
25,Mar,Aries
25,Apr,Taurus
25,May,Gemini
25,Jun,Cancer
25,Jul,Leo
25,Aug,Virgo
25,Sep,Libra
25,Oct,Scorpio
25,Nov,Sagittarius
25,Dec,Capricorn
26,Jan,Aquarius
26,Feb,Pisces
26,Mar,Aries
26,Apr,Taurus
26,May,Gemini
26,Jun,Cancer
26,Jul,Leo
26,Aug,Virgo
26,Sep,Libra
26,Oct,Scorpio
26,Nov,Sagittarius
26,Dec,Capricorn
27,Jan,Aquarius
27,Feb,Pisces
27,Mar,Aries
27,Apr,Taurus
27,May,Gemini
27,Jun,Cancer
27,Jul,Leo
27,Aug,Virgo
27,Sep,Libra
27,Oct,Scorpio
27,Nov,Sagittarius
27,Dec,Capricorn
28,Jan,Aquarius
28,Feb,Pisces
28,Mar,Aries
28,Apr,Taurus
28,May,Gemini
28,Jun,Cancer
28,Jul,Leo
28,Aug,Virgo
28,Sep,Libra
28,Oct,Scorpio
28,Nov,Sagittarius
28,Dec,Capricorn
29,Jan,Aquarius
29,Feb,Pisces
29,Mar,Aries
29,Apr,Taurus
29,May,Gemini
29,Jun,Cancer
29,Jul,Leo
29,Aug,Virgo
29,Sep,Libra
29,Oct,Scorpio
29,Nov,Sagittarius
29,Dec,Capricorn
30,Jan,Aquarius
30,Mar,Aries
30,Apr,Taurus
30,May,Gemini
30,Jun,Cancer
30,Jul,Leo
30,Aug,Virgo
30,Sep,Libra
30,Oct,Scorpio
30,Nov,Sagittarius
30,Dec,Capricorn
31,Jan,Aquarius
31,Mar,Aries
31,May,Gemini
31,Jul,Leo
31,Aug,Virgo
31,Oct,Scorpio
31,Dec,Capricorn
